Archivo,Propiedades actuales,useAuth,useUI,useUser,useNavigation,Complejidad,Hooks requeridos,Observaciones
1. nuevaInspeccion.jsx,"setLoading, setNoti",NO,SI,NO,NO,Media,"useUI({ setLoading, setNoti })","Usa manejo de loading y notificaciones en API"
2. misInspecciones/index.jsx,"session, setLoading, setNoti",SI,SI,NO,NO,Alta,"useAuth(), useUI({ setLoading, setNoti })","Acceso a userId de session + UI state completo"
3. instituciones/consultar/[institucionId]/index.jsx,"session, setNoti",SI,SI,NO,NO,Media,"useAuth(), useUI({ setNoti })","Pasa session a componente InstitucionBox"
4. instituciones/editar/[institucionId]/index.jsx,"session, setNoti",SI,SI,NO,NO,Media,"useAuth(), useUI({ setNoti })","Similar a consultar, usa InstitucionForm"
5. instituciones/index.jsx,"session",SI,NO,NO,NO,Baja,"useAuth()","Solo valida rol de session"
6. instituciones/miInstitucion/index.jsx,"session, setNoti",SI,SI,NO,NO,Media,"useAuth(), useUI({ setNoti })","Usa session y manejo de errores"
7. notificaciones/index.jsx,"session",SI,NO,NO,NO,Media,"useAuth()","Accede a rol e id de session para filtrado"
8. serviciosEscolares/egresados/index.jsx,"setLoading",NO,SI,NO,NO,Baja,"useUI({ setLoading })","Solo pasa setLoading a componente"
9. serviciosEscolares/programas/[id]/editPrograma.jsx,"session",SI,NO,NO,NO,Media,"useAuth()","Usa session para contexto de formulario"
10. Equivalencias/procesar/index.jsx,"setNoti",NO,SI,NO,SI,"Media","useUI({ setNoti }), useNavigation()","Router.back() después de operación"
11. Equivalencias/revisar/index.jsx,"setNoti, setLoading, loading",NO,SI,NO,SI,Alta,"useUI({ setNoti, setLoading, loading }), useNavigation()","Manejo completo de UI + navegación"
12. Revalidacion/procesar/index.jsx,"setNoti",NO,SI,NO,SI,Media,"useUI({ setNoti }), useNavigation()","Similar a Equivalencias/procesar"
13. Revalidacion/revisar/index.jsx,"setNoti",NO,SI,NO,SI,Media,"useUI({ setNoti }), useNavigation()","Similar a Equivalencias/revisar"
14. servicioSocial/crear/index.jsx,"setLoading",NO,SI,NO,NO,Baja,"useUI({ setLoading })","Componente simple con setLoading"
15. solicitudesFolios/admin/[id]/folios.jsx,"setNoti, setLoading",NO,SI,NO,NO,Alta,"useUI({ setNoti, setLoading })","Complejo con muchas operaciones CRUD"
16. solicitudesFolios/alumnos/[id]/certificados/index.jsx,"setNoti, setLoading",NO,SI,NO,NO,Media,"useUI({ setNoti, setLoading })","Manejo de modal y operaciones de certificados"
17. solicitudesFolios/alumnos/[id]/titulos/index.jsx,"setNoti, setLoading",NO,SI,NO,NO,Media,"useUI({ setNoti, setLoading })","Similar a certificados"
18. solicitudesFolios/index.jsx,"session, setLoading, setNoti",SI,SI,NO,NO,Alta,"useAuth(), useUI({ setLoading, setNoti })","Validaciones de rol + operaciones complejas de API"
19. titulacion/index.jsx,"setLoading",NO,SI,NO,NO,Baja,"useUI({ setLoading })","Componente simple"
20. solicitudes/detallesSolicitudes/[id]/index.jsx,"session, setNoti",SI,SI,NO,NO,Media,"useAuth(), useUI({ setNoti })","Usa session para contexto de modal"
21. solicitudes/detallesSolicitudes/[id]/recepcionFormatos/index.jsx,"session, setNoti, setLoading",SI,SI,NO,NO,Alta,"useAuth(), useUI({ setNoti, setLoading })","Formulario complejo con validaciones"
22. solicitudes/index.jsx,"session",SI,NO,NO,NO,Media,"useAuth()","Usa session.rol para filtrado de datos"
23. solicitudesBecas/crear/index.jsx,"setLoading",NO,SI,NO,NO,Baja,"useUI({ setLoading })","Component wrapper simple"
24. tituloElectronico/[folio]/consultarFolio.jsx,"setLoading, loading, setNoti",NO,SI,NO,NO,Alta,"useUI({ setLoading, loading, setNoti })","Fetch externo con manejo de estado completo"
25. usuarios/consultar/[usuarioId]/index.jsx,"session",SI,NO,NO,NO,Media,"useAuth()","Valida rol y accede a session.id"
26. usuarios/crear/index.jsx,"session",SI,NO,NO,NO,Baja,"useAuth()","Solo valida rol de session"
27. usuarios/editar/[usuarioId]/index.jsx,"session",SI,NO,NO,NO,Media,"useAuth()","Valida rol y accede a session"
28. usuarios/perfilUsuario/index.jsx,"session",SI,NO,NO,NO,Media,"useAuth()","Usa session.id para getCurrentUser"
